Anno-Mese;Ticket chiusi
2013-1;0
2013-2;0
2013-3;0
2013-4;0
2013-5;0
2013-6;0
2013-7;0
2013-8;0
2013-9;0
2013-10;0
2013-11;0
2013-12;0
2014-1;0
2014-2;0
2014-3;0
2014-4;0
2014-5;0
2014-6;0
2014-7;0
2014-8;0
2014-9;2
2014-10;0
2014-11;0
2014-12;0
2015-1;0
2015-2;2
2015-3;2
2015-4;3
2015-5;0
2015-6;1
2015-7;0
2015-8;0
2015-9;0
2015-10;1
2015-11;0
2015-12;1
2016-1;0
2016-2;1
2016-3;0
2016-4;0
2016-5;0
2016-6;0
2016-7;0
2016-8;0
2016-9;1
2016-10;0
2016-11;1
2016-12;2
2017-1;0
2017-2;0
2017-3;0
2017-4;0
2017-5;2
2017-6;0
2017-7;1
2017-8;0
2017-9;4
2017-10;11
2017-11;2
2017-12;0
2018-1;4
2018-2;1
2018-3;7
2018-4;2
2018-5;0
2018-6;0
2018-7;2
2018-8;1
2018-9;3
2018-10;2
2018-11;0
2018-12;0
2019-1;0
2019-2;0
2019-3;0
2019-4;1
2019-5;1
2019-6;1
2019-7;1
2019-8;0
2019-9;1
2019-10;0
2019-11;1
2019-12;1
2020-1;1
