Anno-Mese;Bug fixed;Commit totali
2012-9;0;24
2012-10;0;26
2012-11;0;52
2012-12;0;16
2013-1;0;47
2013-2;0;61
2013-3;0;126
2013-4;0;133
2013-5;0;92
2013-6;0;101
2013-7;0;112
2013-8;0;95
2013-9;0;185
2013-10;0;140
2013-11;0;98
2013-12;0;193
2014-1;0;83
2014-2;0;60
2014-3;0;32
2014-4;0;102
2014-5;0;64
2014-6;0;3
2014-7;0;16
2014-8;2;28
2014-9;7;38
2014-10;0;11
2014-11;0;7
2014-12;0;8
2015-1;0;9
2015-2;4;41
2015-3;4;33
2015-4;14;27
2015-5;5;18
2015-6;9;23
2015-7;11;25
2015-8;5;6
2015-9;5;7
2015-10;4;6
2015-11;1;4
2015-12;9;21
2016-1;5;11
2016-2;11;12
2016-3;2;3
2016-4;6;9
2016-5;2;2
2016-6;4;4
2016-7;4;10
2016-8;3;9
2016-9;5;5
2016-10;6;17
2016-11;3;5
2016-12;7;8
2017-1;4;4
2017-2;0;0
2017-3;0;0
2017-4;1;3
2017-5;4;6
2017-6;2;4
2017-7;2;7
2017-8;0;0
2017-9;8;5
2017-10;23;43
2017-11;6;9
2017-12;0;1
2018-1;13;22
2018-2;4;7
2018-3;15;42
2018-4;6;8
2018-5;5;11
2018-6;4;11
2018-7;6;7
2018-8;4;11
2018-9;8;24
2018-10;5;12
2018-11;6;18
2018-12;1;9
2019-1;4;24
2019-2;8;14
2019-3;2;11
2019-4;2;5
2019-5;5;17
2019-6;2;15
2019-7;7;22
2019-8;1;13
2019-9;4;23
2019-10;2;16
2019-11;3;8
2019-12;2;13
2020-1;2;24
2020-2;4;13
2020-3;2;4
2020-4;2;9
2020-5;4;7
2020-6;3;7
2020-7;7;8
2020-8;3;3
2020-9;0;0
2020-10;6;14
2020-11;1;7
2020-12;3;4
2021-1;5;15
2021-2;7;19
2021-3;11;23
2021-4;15;32
2021-5;1;10
2021-6;2;6
2021-7;0;0
2021-8;2;7
2021-9;2;6
2021-10;1;1
